parType,ParasiteCorrectedBinomial,nOcc,nHosts,specificity,nOccurRange,areaKm,wosOct2015,wosFeb2015,status,maxAllHostRS,maxOneHostRS,phylodivNew,maxphyloNew,Zoonotic,HumanEmerging,Domesticated,close,sexual,vertical,closenonsexual,nonclose,environmental,soil,water,feces,vector,intermediate,no. traits,trait flag,REF - AG 2017,REF type,doi,Notes (Alyssa Gehman)
Bacteria,Yersinia aldovae,1,3,G,NA,NA,,17,ung,28012634.55,28012634.55,NA,NA,0,,,1,0,0,1,1,0,0,1,1,0,0,5,yes,"Von Tils D, Bl_del I, Schmidt MA, Heusipp G. Type II secretion inÊYersiniaÑa secretion system for pathogenicity and environmental fitness.ÊFrontiers in Cellular and Infection Microbiology. 2012;2:160. doi:10.3389/fcimb.2012.00160.",Article,10.3389/fcimb.2012.00160,considered apothogenic
Bacteria,Yersinia enterocolitica,5,12,G,NA,NA,,6351,tsp,47507742.86,28012634.55,181.7,131.2,1,1,,1,0,0,1,1,0,0,1,1,0,0,5,no,"Mahon, Lehman and Manuselis. Textbook of Diagnostic Microbiology. 2011. pg. 445",Textbook,,
Bacteria,Yersinia frederiksenii,2,4,G,NA,NA,,40,ung,28152307.98,28012634.55,131.2,131.2,1,,,1,0,0,1,1,1,0,1,1,0,0,6,no,Mittal et al. BMC Microbiology. 2007.,Article,doi:10.1186/1471-2180-7-25,
Bacteria,Yersinia intermedia,1,1,S,NA,NA,,66,ung,139673.4316,139673.4316,NA,NA,1,,,1,0,0,1,1,1,0,1,1,0,0,6,no,Mittal et al. BMC Microbiology. 2007.,Article,doi:10.1186/1471-2180-7-26,
Bacteria,Yersinia kristensenii,3,4,G,NA,NA,,46,ung,22657582.2,15261022.82,71.1,53.4,1,,,1,0,0,1,1,1,0,1,1,0,0,6,no,Mittal et al. BMC Microbiology. 2007.,Article,doi:10.1186/1471-2180-7-27,
Bacteria,Yersinia pseudotuberculosis,5,13,G,NA,NA,,1886,tsp,47906122.73,28012634.55,171.9,131.2,1,,,1,0,0,1,1,0,0,1,1,0,0,5,no,"Mahon, Lehman and Manuselis. Textbook of Diagnostic Microbiology. 2011. pg. 445",Textbook,,
Bacteria,Acinetobacter lwoffii,1,1,S,NA,NA,,168,ung,538053.3024,538053.3024,NA,NA,1,,,1,0,0,1,1,1,0,0,1,0,0,5,no,Guerra  et. al. Veterinary Microbiology. 2014.,Article,doi:10.1016/j.vetmic.2014.02.001,infection by A. lwoffii reduces allergic reactions in mice
Helminth,Agriostomum cursoni,2,4,G,NA,NA,,0,ung,8691053.051,6856205.773,29.4,29.4,0,,,0,0,0,0,1,1,1,0,1,0,0,4,yes,,,,hookworm in wildebeest - no reference of life cycle that I can find
Helminth,Agriostomum equidentatum,2,7,G,NA,NA,,0,ung,3715989.903,1950024.369,43.6,43.6,0,,,0,0,0,0,1,1,1,0,1,0,0,4,yes,,,,no reference of lifecycle that I could find
Helminth,Agriostomum gorgonis,9,13,G,NA,NA,,1,ung,42092188.55,8442938.751,184.2,53,0,,,0,0,0,0,1,1,1,0,1,0,0,4,yes,,,,no reference of lifecycle that I could find
Bacteria,Agrobacterium radioba (radiobacter),NA,NA,G,NA,NA,,0,NA,NA,NA,NA,NA,,,,1,0,0,0,1,1,0,0,0,0,0,3,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002. pg. 399",Textbook,,synonym with Rhizobium radiobacter
Virus,Aphthovirus Foot-and-mouth disease virus,26,189,G,163,4896934.66,,3,tsp,92704502.78,12063886.71,681.3,170.6,0,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Schley et al. 2009. Journal of the Royal Society Interface,Article,doi:10.1098/rsif.2008.0306,
Virus,Arterivirus Porcine respiratory and reproductive syndrome virus,1,3,G,NA,NA,,0,tsp,28012634.55,28012634.55,NA,NA,,,,1,1,1,1,1,1,0,0,0,1,0,7,no,Yun and Lee. Journal of Microbiology. 2013.,Article,DOI 10.1007/s12275-013-3431-z,mechanical vector
Protozoa,Besnoitia tarandi,1,2,G,NA,NA,,9,ung,18168072.93,18168072.93,NA,NA,0,,,0,0,0,0,1,0,0,0,1,1,1,4,yes,Garcia-Lunar et al. Veterinary Parasitology. 2014. ,Article,10.1016/j.vetpar.2014.09.003 ,life cycle not yet described
prion?,Chronic Wasting Disease,6,29,G,NA,NA,,831,NA,58699501.03,15261022.82,78.9,35.4,,,,1,0,0,1,1,1,0,0,0,0,0,4,no,"Jennelle CS, Henaux V, Wasserberg G, Thiagarajan B, Rolley RE, Samuel MD. Transmission of Chronic Wasting Disease in Wisconsin White-Tailed Deer: Implications for Disease Spread and Management. Roop RM, ed.ÊPLoS ONE. 2014;9(3):e91043. doi:10.1371/journal.pone.0091043.",Article,10.1371/journal.pone.0091043,
Bacteria,Clostridium chauvoei,1,1,S,NA,NA,,156,ung,15261022.82,15261022.82,NA,NA,1,,,0,0,0,0,1,1,1,0,1,0,0,4,no,"Bagge E, Lewerin SS, Johansson K-E. Detection and identification by PCR ofClostridium chauvoeiÊin clinical isolates, bovine faeces and substrates from biogas plant.ÊActa Veterinaria Scandinavica. 2009;51(1):8. doi:10.1186/1751-0147-51-8.",Article,10.1186/1751-0147-51-8.,
Bacteria,Clostridium haemolyticum,1,1,S,NA,NA,,15,tsp,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,1,0,1,0,0,4,no,Oaks et al. 1997. Journal of Veterinary Diagnostic Investigations,Article,Ê10.1177/104063879700900319,aka C. novyi type D
Bacteria,Clostridium perfringens,1,1,S,NA,NA,,6335,tsp,14410477.61,14410477.61,NA,NA,1,,,0,0,0,0,1,1,1,0,1,0,0,4,no,"Uzal FA, Freedman JC, Shrestha A, et al. Towards an understanding of the role ofÊClostridium perfringensÊtoxins in human and animal disease.ÊFuture microbiology. 2014;9(3):361-377. doi:10.2217/fmb.13.168.",Article,10.2217/fmb.13.168,
Bacteria,Clostridium septicum,1,1,S,NA,NA,,470,ung,15261022.82,15261022.82,NA,NA,1,,,0,0,0,0,1,1,1,0,1,0,0,4,no,"Nanjappa S, Shah S, Pabbathi S.ÊClostridium septicumÊGas Gangrene in Colon Cancer: Importance of Early Diagnosis.ÊCase Reports in Infectious Diseases. 2015;2015:694247. doi:10.1155/2015/694247.",Article,10.1155/2015/694247,
Bacteria,Clostridium sordellii,1,1,S,NA,NA,,333,tsp,15261022.82,15261022.82,NA,NA,1,,,0,0,0,0,1,1,1,0,1,0,0,4,no,Lewis and Naylor. 1998. The Veterinary Record. ,Article,10.1136/vr.142.16.417,
Arthropod,Ctenocephalides felis,1,1,S,NA,NA,,715,NA,13575937.13,13575937.13,NA,NA,0,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Blagburn and Dryden. 2009. Vet Clin Small Anim. ,Article,10.1016/j.cvsm.2009.07.001,
Arthropod,Echidnophaga larina,1,2,G,NA,NA,,2,NA,776098.1421,776098.1421,NA,NA,0,,,1,0,0,1,1,1,0,0,0,0,0,4,no,Blagburn and Dryden. 2009. Vet Clin Small Anim. ,Article,10.1016/j.cvsm.2009.07.002,warthog flea - no specific literature for this species but used generalized flea life cycle
Bacteria,Enterobacter cloacae,1,1,S,NA,NA,,3541,tsp,538053.3024,538053.3024,NA,NA,1,1,,1,0,0,1,0,0,0,0,1,0,0,3,no,"Harbarth, et al. Infection Control and Hospital Epidemiology. 1999.",Article,10.1086/501677,
Bacteria,Fusobacterium necrophorum,3,4,G,NA,NA,,715,tsp,8507510.086,7963741.77,79.9,53.4,1,,,0,0,0,0,1,0,1,1,1,0,0,4,no,Langworth BF. Fusobacterium necrophorum: its characteristics and role as an animal pathogen.ÊBacteriological Reviews. 1977;41(2):373-390.,Article,,Also see 10.1136/vr.118.25.691 for support of fecal transmission
Helminth,Globocephalus urosubulatus,1,2,G,NA,NA,,13,tsp,28012634.55,28012634.55,NA,NA,0,,,0,0,0,0,1,1,0,0,1,0,0,3,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. pg 53",Article,,
Arthropod,Moeopsylla sjoestedti,1,3,G,NA,NA,,1,NA,776098.1421,776098.1421,NA,NA,0,,,1,0,0,1,1,1,0,0,0,0,0,4,no,"Horak, I. G., J-C. Beaucournu, and L. E. O. Braack. ""Parasites of domestic and wild animals in South Africa. XLIV. Fleas (Insecta: Siphonaptera: Pulicidae) collected from 15 carnivore species.""ÊOnderstepoort J Vet Res71.1 (2004): 9-14.",Article,,
Helminth,Monodontella giraffae,1,1,S,NA,NA,,2,ung,2016377.813,2016377.813,NA,NA,0,,,0,0,0,0,1,1,1,0,1,0,0,4,no,"Anderson, R.C. Nematode Prasites of Vertebrates: Their development and transmission. 2000. g. 45",Textbook,,"super family level life cycle, text suggests that is acceptable"
Bacteria,Mycobacterium avium,17,96,G,81,10806287.21,38759,7952,tsp,112962882.6,28012634.55,321.3,131.2,1,1,,1,0,1,0,1,0,0,0,1,0,0,4,no,"Everman JL, Bermudez LE. Antibodies against invasive phenotype-specific antigens increaseÊMycobacterium aviumÊsubspeciesÊparatuberculosistranslocation across a polarized epithelial cell model and enhance killing by bovine macrophages.ÊFrontiers in Cellular and Infection Microbiology. 2015;5:58. doi:10.3389/fcimb.2015.00058.",Article,10.3389/fcimb.2015.00058,
Bacteria,Mycobacterium bovis,19,95,G,88,48865268.3,35970,6451,tsp,119576813.3,28012634.55,418.2,131.2,1,1,,1,0,0,1,1,0,0,0,1,0,0,4,no,Palmer et al. 2001. Amberican Journal of Veterinary research.,Article,10.2460/ajvr.2001.62.692,
Virus,Parapoxvirus Bovine papular stomatitis virus,1,1,S,NA,NA,,0,tsp,139673.4316,139673.4316,NA,NA,1,,,1,0,0,1,0,0,0,0,0,0,0,2,no,"Haller SL, Peng C, McFadden G, Rothenburg S. Poxviruses and the Evolution of Host Range and Virulence.ÊInfection, genetics and evolution_: journal of molecular epidemiology and evolutionary genetics in infectious diseases. 2014;0:15-40. doi:10.1016/j.meegid.2013.10.014.",Article,10.1016/j.meegid.2013.10.014,
Arthropod,Phacopsylla inexpectata,1,1,S,NA,NA,,1,NA,776098.1421,776098.1421,NA,NA,0,,,1,0,0,1,1,1,0,0,0,0,0,4,no,"Junker K, Horak IG, Penzhorn B. History and development of research on wildlife parasites in southern Africa, with emphasis on terrestrial mammals, especially ungulates.ÊInternational Journal for Parasitology: Parasites and Wildlife. 2015;4(1):50-70. doi:10.1016/j.ijppaw.2014.12.003.",Article, 10.1016/j.ijppaw.2014.12.003.,Citation for identification Warthog flea - previously Echidnophaga inexpectata.  Using generalized flea life cycle fromMarquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.569
Helminth,Probstmayria vivipara,7,19,G,NA,NA,,8,tsp,15385949.69,6697308.45,260.2,170.6,0,,,0,0,0,0,1,1,0,1,1,0,,4,no,Smith HJ. Probstmayria vivipara pinworms in ponies.ÊCanadian Journal of Comparative Medicine. 1979;43(3):341-342.,Article,,
Bacteria,Proteus vulgaris,1,1,S,NA,NA,,1474,tsp,9582710.449,9582710.449,NA,NA,1,,,1,0,0,1,1,1,0,0,0,0,0,4,no,"Mahon, Lehman and Manuselis. Textbook of Diagnostic Microbiology. 2011. pg 438",Textbook,,
Bacteria,Pseudomonas aeruginosa,4,5,G,NA,NA,,54094,tsp,4249972.86,2217256.782,91.3,53,1,1,,1,0,0,1,1,1,1,1,0,0,0,6,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002. pg. 386",Textbook,,
Bacteria,Salmonella choleraesuis,1,1,S,NA,NA,,430,tsp,538053.3024,538053.3024,NA,NA,1,,,0,0,0,0,1,1,1,1,1,0,0,5,no,Gray et al. Veterinary Microbiology. 1995. ,Article,10.1016/0378-1135(95)00060-N,
Bacteria,Salmonella enterica,6,7,G,NA,NA,,9797,tsp,54554401.57,28012634.55,190.6,131.2,0,,,1,0,1,1,1,1,1,0,1,0,0,7,no,"Braden, C. Clinical Infectious Diseases. 2006.",Article,10.1086/505973,
Protozoa,Sarcocystis americana,1,5,G,NA,NA,,0,ung,6307636.164,6307636.164,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2004,Generalized lifecycle - Marquardt textbook suggests that this is acceptable
Protozoa,Sarcocystis arieticanis,2,2,G,NA,NA,,0,tsp,2376689.336,2361083.4,53.4,53.4,,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2005,Generalized lifecycle - Marquardt textbook suggests that this is acceptable
Protozoa,Sarcocystis camelopardalis,1,1,S,NA,NA,,1,ung,2016377.813,2016377.813,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2006,Generalized lifecycle - Marquardt textbook suggests that this is acceptable
Protozoa,Sarcocystis capracanis,1,1,S,NA,NA,,27,tsp,15605.93569,15605.93569,NA,NA,,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2007,Generalized lifecycle - Marquardt textbook suggests that this is acceptable
Protozoa,Sarcocystis capreolicanis,1,1,S,NA,NA,,1,ung,15261022.82,15261022.82,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2008,
Protozoa,Sarcocystis capricornis,1,1,S,NA,NA,,1,tsp,15605.93569,15605.93569,NA,NA,,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2009,
Protozoa,Sarcocystis cornaglia,2,2,G,NA,NA,,0,ung,295969.8389,280363.9032,30,30,,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2010,
Protozoa,Sarcocystis danzani,1,1,S,NA,NA,,0,ung,715728.4104,715728.4104,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2011,
Protozoa,Sarcocystis dubeyella,1,1,S,NA,NA,,1,ung,776098.1421,776098.1421,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2012,
Protozoa,Sarcocystis gazellae,1,1,S,NA,NA,,1,ung,1950024.369,1950024.369,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2013,
Protozoa,Sarcocystis giraffae,1,1,S,NA,NA,,1,ung,2016377.813,2016377.813,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2014,
Protozoa,Sarcocystis grueneri,2,2,G,NA,NA,,2,ung,19280300.88,15261022.82,25.6,25.6,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2015,
Protozoa,Sarcocystis hemioni,1,5,G,NA,NA,,0,ung,6307636.164,6307636.164,NA,NA,0,,,0,0,0,0,1,1,0,1,1,0,1,5,no,Fayer R.ÊSarcocystisÊspp. in Human Infections.ÊClinical Microbiology Reviews. 2004;17(4):894-902. doi:10.1128/CMR.17.4.894-902.2004.,Article, doi:10.1128/CMR.17.4.894-902.2016,
