"","para.name","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","close","nonclose","vector","intermediate","para.type","n.modes","n.Primates","n.Carnivores","n.Ungulates","host.orders"
"116","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"117","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"118","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"119","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"120","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"121","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"122","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"123","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"124","Anaplasma phagocytophilum",19,124.499415204678,135.835819883041,7.68552321231143,77.5,-1.47503356182736,0.0774225774225774,1000,0,0,1,0,"Bacteria",1,0,9,10,"Mixed"
"128","Ancylostoma braziliense",3,92.7333333333333,122.7964,33.6942071838597,253.5,-0.892232498679108,0.253246753246753,1000,1,1,0,0,"Helminth",2,0,3,0,"Carnivore"
"129","Ancylostoma braziliense",3,92.7333333333333,122.7964,33.6942071838597,253.5,-0.892232498679108,0.253246753246753,1000,1,1,0,0,"Helminth",2,0,3,0,"Carnivore"
"130","Ancylostoma caninum",13,76.4923076923077,113.984097435897,17.3366825038521,15.5,-2.1625700150683,0.0154845154845155,1000,1,1,0,0,"Helminth",2,0,13,0,"Carnivore"
"131","Ancylostoma caninum",13,76.4923076923077,113.984097435897,17.3366825038521,15.5,-2.1625700150683,0.0154845154845155,1000,1,1,0,0,"Helminth",2,0,13,0,"Carnivore"
"132","Ancylostoma caninum",13,76.4923076923077,113.984097435897,17.3366825038521,15.5,-2.1625700150683,0.0154845154845155,1000,1,1,0,0,"Helminth",2,0,13,0,"Carnivore"
"133","Ancylostoma caninum",13,76.4923076923077,113.984097435897,17.3366825038521,15.5,-2.1625700150683,0.0154845154845155,1000,1,1,0,0,"Helminth",2,0,13,0,"Carnivore"
"135","Ancylostoma kusimaense",3,79.2,114.1654,37.990406602639,226,-0.920374460998034,0.225774225774226,1000,1,1,0,0,"Helminth",2,0,3,0,"Carnivore"
"136","Ancylostoma kusimaense",3,79.2,114.1654,37.990406602639,226,-0.920374460998034,0.225774225774226,1000,1,1,0,0,"Helminth",2,0,3,0,"Carnivore"
"139","Ancylostoma pluridentatum",2,30.8,92.0888,68.7440523921837,264,-0.891550583174067,0.263736263736264,1000,1,1,0,0,"Helminth",2,0,2,0,"Carnivore"
"141","Ancylostoma tubaeforme",10,76.0888888888889,114.43408,19.8173744034069,27.5,-1.9349279238787,0.0274725274725275,1000,1,1,0,0,"Helminth",2,0,10,0,"Carnivore"
"142","Ancylostoma tubaeforme",10,76.0888888888889,114.43408,19.8173744034069,27.5,-1.9349279238787,0.0274725274725275,1000,1,1,0,0,"Helminth",2,0,10,0,"Carnivore"
"144","Angiocaulus gubernaculatus",2,128.2,140.9372,34.8242223548872,370.5,-0.365756911100486,0.37012987012987,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"145","Angiocaulus gubernaculatus",2,128.2,140.9372,34.8242223548872,370.5,-0.365756911100486,0.37012987012987,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"147","Angiostrongylus vasorum",5,50.56,98.60318,36.4678980292842,131.5,-1.31741017706643,0.131368631368631,1000,0,1,0,1,"Helminth",1,0,5,0,"Carnivore"
"150","Anisakis simplex",9,53.7444444444444,105.049866666667,24.2549227820379,21,-2.1152581141267,0.020979020979021,1000,0,1,0,1,"Helminth",1,0,9,0,"Carnivore"
"151","Anophryocephalus arcticensis",2,18.2,85.0538,72.9745684001844,250.5,-0.916124637193895,0.25024975024975,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"153","Anophryocephalus ochotensis",2,67.4,110.2504,52.8653334740577,273,-0.810557641162478,0.272727272727273,1000,0,1,0,1,"Helminth",1,0,2,0,"Carnivore"
"158","Antarctophthirus microchir",2,18,89.093,73.2991606906788,236.5,-0.9699019651809,0.236263736263736,1000,1,0,0,0,"Arthropod",1,0,2,0,"Carnivore"
"159","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"160","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"161","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"162","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"163","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"164","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"165","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"166","Aphthovirus Foot-and-mouth disease virus",14,59.4703296703297,102.414903296703,19.8142519170314,18,-2.16735780922723,0.017982017982018,1000,1,1,0,0,"Virus",2,0,0,14,"Ungulate"
"169","Apophallus muehlingi",3,78.7333333333333,114.516466666667,39.1367787618795,213.5,-0.914309620396947,0.213286713286713,1000,0,1,0,1,"Helminth",1,0,3,0,"Carnivore"
"171","Apteragia odocoilei",2,35.4,89.7324,68.6772643374565,289,-0.791126445180303,0.288711288711289,1000,0,1,0,0,"Helminth",1,0,0,2,"Ungulate"
"172","Apteragia pursglovei",2,35.4,87.7906,67.5334583716815,287,-0.775772502448486,0.286713286713287,1000,0,1,0,0,"Helminth",1,0,0,2,"Ungulate"
"175","Arcanobacterium phocae",5,69.38,112.0555,28.5338376255217,93,-1.49561024913906,0.0929070929070929,1000,0,1,0,0,"Bacteria",1,0,5,0,"Carnivore"
"176","Arcanobacterium phocae",5,69.38,112.0555,28.5338376255217,93,-1.49561024913906,0.0929070929070929,1000,0,1,0,0,"Bacteria",1,0,5,0,"Carnivore"
"177","Arcanobacterium pyogenes",7,82.7238095238095,112.7492,23.9014847519819,129.5,-1.25621444808783,0.129370629370629,1000,1,1,0,0,"Bacteria",2,0,1,6,"Mixed"
"178","Arcanobacterium pyogenes",7,82.7238095238095,112.7492,23.9014847519819,129.5,-1.25621444808783,0.129370629370629,1000,1,1,0,0,"Bacteria",2,0,1,6,"Mixed"
"179","Arcanobacterium pyogenes",7,82.7238095238095,112.7492,23.9014847519819,129.5,-1.25621444808783,0.129370629370629,1000,1,1,0,0,"Bacteria",2,0,1,6,"Mixed"
"183","Armillifer armillatus",5,29.58,98.41502,42.8171095295802,98.5,-1.60765219222576,0.0984015984015984,1000,0,1,0,1,"Arthropod",1,5,0,0,"Primate"
"184","Armillifer armillatus",5,29.58,98.41502,42.8171095295802,98.5,-1.60765219222576,0.0984015984015984,1000,0,1,0,1,"Arthropod",1,5,0,0,"Primate"
"185","Armillifer armillatus",5,29.58,98.41502,42.8171095295802,98.5,-1.60765219222576,0.0984015984015984,1000,0,1,0,1,"Arthropod",1,5,0,0,"Primate"
"188","Arthrostoma miyazakiense",3,79.2,114.896266666667,38.2990612553905,224.5,-0.932040251029455,0.224275724275724,1000,0,1,0,1,"Helminth",1,0,3,0,"Carnivore"
"189","Ascaridia galli",2,40.4,107.6182,72.9720488178088,271.5,-0.921149962060479,0.271228771228771,1000,0,1,0,0,"Helminth",1,2,0,0,"Primate"
"191","Ascaris lumbricoides",7,103.27619047619,133.425904761905,19.7041577437406,100,-1.53011941326403,0.0999000999000999,1000,1,1,0,0,"Helminth",2,6,1,0,"Mixed"
"194","Ascaris suum",2,170.8,163.9764,27.2596179322053,578.5,0.250318988951728,0.577922077922078,1000,1,1,0,0,"Helminth",2,0,1,1,"Mixed"
"197","Asfivirus African swine fever virus",3,43.2666666666667,103.220133333333,47.5590916143002,171.5,-1.26061000392698,0.171328671328671,1000,1,1,1,0,"Virus",3,0,0,3,"Ungulate"
"198","Asfivirus African swine fever virus",3,43.2666666666667,103.220133333333,47.5590916143002,171.5,-1.26061000392698,0.171328671328671,1000,1,1,1,0,"Virus",3,0,0,3,"Ungulate"
"199","Ashworthius gagarini",2,35.4,87.7644,67.9502993063005,293.5,-0.77062795211477,0.293206793206793,1000,0,1,0,0,"Helminth",1,0,0,2,"Ungulate"
"200","Ashworthius sidemi",3,47.4,93.126,47.8015819788857,238.5,-0.956579219913632,0.238261738261738,1000,0,1,0,0,"Helminth",1,0,0,3,"Ungulate"
"206","Babesia bigemina",2,53.4,97.2064,60.5502228610971,346,-0.723472151382372,0.345654345654346,1000,0,0,1,0,"Protozoa",1,0,0,2,"Ungulate"
"210","Babesia equi",2,192.4,179.1182,34.0917937216445,617,0.389589357146894,0.616383616383616,1000,0,0,1,0,"Protozoa",1,1,0,1,"Mixed"
"211","Babesia equi",2,192.4,179.1182,34.0917937216445,617,0.389589357146894,0.616383616383616,1000,0,0,1,0,"Protozoa",1,1,0,1,"Mixed"
"216","Babesia ovis",3,45.6,93.2366,49.2683634447194,237,-0.96688009646291,0.236763236763237,1000,0,0,1,0,"Protozoa",1,0,0,3,"Ungulate"
"217","Babesia pitheci",4,28.8,100.7102,48.8038640751347,123.5,-1.47345300137081,0.123376623376623,1000,0,0,1,0,"Protozoa",1,4,0,0,"Primate"
"220","Bacillus anthracis",28,117.59417989418,133.087113227513,8.19590764142555,27,-1.8903255150199,0.026973026973027,1000,0,1,0,0,"Bacteria",1,2,2,24,"Mixed"
"221","Bacillus cereus",2,90.6,136.3536,49.1784152201305,260,-0.930359382163893,0.25974025974026,1000,0,1,0,0,"Bacteria",1,2,0,0,"Primate"
"226","Balantidium coli",18,97.0078431372549,130.948652287582,12.9912496014832,10,-2.61259002724818,0.00999000999000999,1000,1,1,0,0,"Protozoa",2,16,1,1,"Mixed"
"227","Bartonella clarridgeiae",2,5.6,79.2034,81.1615753281671,247,-0.906874955326994,0.246753246753247,1000,0,1,1,0,"Bacteria",2,0,2,0,"Carnivore"
"228","Bartonella henselae",8,52.6285714285714,104.939321428571,27.0049376820046,45.5,-1.93708093741903,0.0454545454545455,1000,0,0,1,0,"Bacteria",1,0,8,0,"Carnivore"
"229","Bartonella henselae",8,52.6285714285714,104.939321428571,27.0049376820046,45.5,-1.93708093741903,0.0454545454545455,1000,0,0,1,0,"Bacteria",1,0,8,0,"Carnivore"
"230","Bartonella rochalimae",3,79.2,113.764266666667,38.4559328714441,234,-0.898801929528351,0.233766233766234,1000,0,0,1,0,"Bacteria",1,0,3,0,"Carnivore"
"231","Bartonella vinsonii",3,11.2,81.0590666666667,59.8904013285951,185,-1.16644846447726,0.184815184815185,1000,0,1,1,0,"Bacteria",2,0,3,0,"Carnivore"
"232","Bartonella vinsonii",3,11.2,81.0590666666667,59.8904013285951,185,-1.16644846447726,0.184815184815185,1000,0,1,1,0,"Bacteria",2,0,3,0,"Carnivore"
"233","Bartonella vinsonii",3,11.2,81.0590666666667,59.8904013285951,185,-1.16644846447726,0.184815184815185,1000,0,1,1,0,"Bacteria",2,0,3,0,"Carnivore"
"234","Baylisascaris columnaris",4,52.8333333333333,102.161566666667,37.1545459136541,139,-1.32765001214039,0.138861138861139,1000,0,1,0,1,"Helminth",1,0,4,0,"Carnivore"
"235","Baylisascaris columnaris",4,52.8333333333333,102.161566666667,37.1545459136541,139,-1.32765001214039,0.138861138861139,1000,0,1,0,1,"Helminth",1,0,4,0,"Carnivore"
"236","Baylisascaris columnaris",4,52.8333333333333,102.161566666667,37.1545459136541,139,-1.32765001214039,0.138861138861139,1000,0,1,0,1,"Helminth",1,0,4,0,"Carnivore"
"237","Baylisascaris devosi",5,32.06,91.8189,39.6181411211568,95,-1.5083721322828,0.0949050949050949,1000,0,1,0,1,"Helminth",1,0,5,0,"Carnivore"
