"","x"
"119","Ehrlichia muris"
"120","Eutrombicula splendens"
"121","Linguatula serrata"
"122","Hyalomma glabrum"
"123","Rhipicephalus compositus"
"124","Cutifilaria wenki"
"125","Babesia bicornis"
"126","Theileria bicornis"
"127","Rhipicephalus longiceps"
"128","Cycloposthium scutigerum"
"129","Cycloposthium edentatum"
"130","Triadinium galea"
"131","Entodinium bursa"
"132","Epidinium caudatum"
"133","Cycloposthium dentiferum"
"134","Elyplastron bubali"
"135","Tetratoxum parvum"
"136","Ostracodinium trivesiculatum"
"137","Ostracodinium gracile"
"138","Tetratoxum unifasciculatum"
"139","Diplodinium anacanthum"
"140","Diplodinium dentatum"
"141","Diploplastron affine"
"142","Cycloposthium corrugatum"
"143","Spirodinium equi"
"144","Cycloposthium bipalmatum"
"145","Polyplastron multivesiculatum"
"146","Ostracodinium mammosum"
"147","Habronema majus"
"148","Parapoteriostomum schuermanni"
"149","Cylicocyclus leptostomum"
"150","Cylicocyclus radiatus"
"151","Cylicostephanus goldi"
"152","Cylicocyclus elongatus"
"153","Cylicocyclus asini"
"154","Coronocyclus labratus"
"155","Cylicostephanus longibursatus"
"156","Cyathostomum pateratum"
"157","Coronocyclus labiatus"
"158","Cylicostephanus asymetricus"
"159","Coronocyclus coronatus"
"160","Streptococcus equi"
"161","Arterivirus Equine arteritis virus"
"162","Varicellovirus Equid herpesvirus 9"
"163","Poteriostomum ratzii"
"164","Oesophagodontus robustus"
"165","Strongyloides westeri"
"166","Triodontophorus minor"
"167","Cylicocyclus adersi"
"168","Skrjabinodentatus longiconus"
"169","Cylindropharynx intermedia"
"170","Poteriostomum imparidentatum"
"171","Parapoteriostomum mettami"
"172","Triodontophorus tenuicollis"
"173","Triodontophorus brevicaudata"
"174","Parapoteriostomum euproctus"
"175","Petrovinema poculatum"
"176","Cystoisospora belli"
"177","Balantidium coli"
"178","Entamoeba histolytica"
"179","Entamoeba coli"
"180","Equus zebra gammaherpesvirus 2"
"181","Ostertagia kenyensis"
"182","Gazellostrongylus lerouxi"
"183","Oculotrema hippopotami"
"184","Paraisotricha minuta"
"185","Paraplagiopyla kiboko"
"186","Charonina hippopotami"
"187","Parentodinium ostrea"
"188","Parentodinium africanum"
"189","Setaria thwaitei"
"190","Calicophron calicophorum"
"191","Trichuris tenuis"
"192","Oesphagostomum columbianum"
"193","Amblyomma pseudoconcolor"
"194","Loxodontofilaria caprini"
"195","Culicoides paraensis"
"196","Culicoides bickleyi"
"197","Culicoides stellifer"
"198","Culicoides venustus"
"199","Babesia bovis"
"200","Culicoides spinosus"
"201","Culicoides debiliapalpis"
"202","Culicoides guttipennis"
"203","Cephenemyia phobifera"
"204","Rickettsia amblyommii"
"205","Streptococcus dysgalactiae"
"206","Bibersteinia trehalosi"
"207","Streptococcus equinus"
"208","Bacteroides pyogenes"
"209","Protostrongylus rupricaprae"
"210","Cystocaulus ocreatus"
"211","Protostrongylus hobmaieri"
"212","Porcine lymphotropic herpesvirus 1"
"213","Phacochoerus africanus lymphotropic herpesvirus 1"
"214","Phacochoerus africanus cytomegalovirus 1"
"215","Ixodes stilesi"
"216","Eimeria rangiferis"
"217","Eimeria mayeri"
"218","Eimeria hreindyria"
"219","Sarcocystis hardangeri"
"220","Sarcocystis rangi"
"221","Cooperia pigachei"
"222","Trichostrongylus longispicularis"
"223","Trichophyton verrucosum"
"224","Rupicapra rupicapra gammaherpesvirus 1"
"225","Nematodirus gazellae"
"226","Nematodirus archari"
"227","Nematodirus dogieli"
"228","Marshallagia mongolica"
"229","Rickettsia DnS29"
"230","Protoparvovirus Ungulate protoparvovirus 1"
"231","Trypanosoma cruzi"
"232","Hyalomma anatolicum"
"233","Spirometra mansonoides"
"234","Arterivirus Porcine reproductive and respiratory syndrome virus"
"235","Amblyomma gemma"
"236","Sataria nelsoni"
"237","Amblyomma cohaerens"
"238","Rhipicephalus longus"
"239","Rhipicephalus praetextatus"
"240","Africanostrongylus buceros"
"241","Cotylophoron macrosphinctris"
"242","Rhipicephalus ziemanni"
"243","Carmyerius gregarius"
"244","Mucor guilliermondii"
"245","Rhipicephalus lounsburyi"
"246","Rhipicephalus supertritus"
"247","Morbillivirus Canine distemper virus"
