Ok,Parasite type,Parasite genus,Parasite species,Parasite name,Old name,ParasiteCorrectedBinomial,WOS June_2014,WOS June_2014 Viral Species,Specificity score,Specialist - Generalist,Confidence score,Direct,Indirect,Close,Sexual,Vertical,CloseNonsexual,Non-close,Environment,Soil,Water,Feces,Vector,Intermediate,Notes on Transmission,Notes on Specificity,no. transmission modes,trait flag,REF - AG 2016,REF type,doi,Notes (Alyssa Gehman),
1496,Bacteria,Mannheimia,haemolytica,Mannheimia haemolytica,Pasteurella haemolytica,Mannheimia haemolytica,592,,,,,1,0,1,0,1,1,0,0,0,0,0,0,0,Viability Of Airborne Pasteurella Spp.,,3,no,"Omaleki, L. G. Browning, J. Allen and S. Barber. Veterinary Microbiology. 2011.",Article,doi:10.1016/j.vetmic.2011.03.024,,
111,Protozoa,Toxoplasma,gondii,Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii,13500,,,,,0,1,1,0,1,0,1,1,1,1,1,0,1,http://www.cdc.gov/parasites/toxoplasmosis/epi.html,,8,no,"Robert-Gangneux F, Dardé M-L. Epidemiology of and Diagnostic Strategies for Toxoplasmosis. Clinical Microbiology Reviews. 2012;25(2):264-296. doi:10.1128/CMR.05013-11.",Article,doi:10.1128/CMR.05013-11.,,
109,Protozoa,Toxoplasma,NA,Toxoplasma NA,Toxoplasma,,,,,,,0,1,1,0,1,0,1,1,1,1,1,0,1,http://www.cdc.gov/parasites/toxoplasmosis/epi.html,,8,yes,,,,There is only one species of Toxoplasma,
1468,Bacteria,Pasteurella,multocida,Pasteurella multocida,Pasteurella multocida,Pasteurella multocida,3832,,,,,1,1,1,0,0,1,1,1,0,1,0,0,0,http://microbewiki.kenyon.edu/index.php/Pasteurella_multocida,,5,no,"Köndgen S, Leider M, Lankester F, et al. Pasteurella multocida Involved in Respiratory Disease of Wild Chimpanzees. Moreno E, ed. PLoS ONE. 2011;6(9):e24236. .",Article,doi:10.1371/journal.pone.0024236,,
1464,Bacteria,Pasteurella,NA,Pasteurella NA,Pasteurella - like sp.,,,,,,,1,1,1,0,0,1,1,1,0,1,1,1,0,Bailey & Scott's Diagnostic Microbiology,,7,yes,,,,repeat,
,Bacteria,Coxiella,burnetii,Coxiella burnetii,Coxiella burnetii,Coxiella burnetii,2544,,5,G,1,1,1,1,1,1,1,1,1,1,0,1,0,0,http://www.cdc.gov/qfever/,,8,no,"Porter SR, Czaplicki G, Mainil J, Guattéo R, Saegerman C. Q Fever: Current State of Knowledge and Perspectives of Research of a Neglected Zoonosis.International Journal of Microbiology. 2011;2011:248418. ",Article,doi:10.1155/2011/248418.,,
,Protozoan,Giardia,duodenalis,Giardia duodenalis,Giardia duodenalis,Giardia intestinalis,1563,,5,G,3,1,1,1,1,0,1,1,1,0,1,1,0,0,http://www.vacunasyviajes.es/vacunasyviajes/Giardiasis_Atlas.html,,7,no,"Marquardt, W. R. Demaree and R. Grieve. Parasitology and Vector Biology. 2000. pg. 93",Textboook,,,
792,Virus,Amdovirus,Aleutian mink disease virus,Amdovirus Aleutian mink disease virus,Parvovirus Aleutian mink disease parvovirus,Amdovirus Aleutianminkdiseasevirus,0,34,,,,1,1,1,0,1,1,1,1,0,1,1,0,0,Viral Ecology Hurst,,7,no,"Canuti M, Whitney HG, Lang AS. Amdoparvoviruses in small mammals: expanding our understanding of parvovirus diversity, distribution, and pathology. Frontiers in Microbiology. 2015;6:1119. .",Article,doi:10.3389/fmicb.2015.01119,can't find the reference in Viral Ecology - so used primary literature ,
793,Virus,Amdovirus,Aleutian-mink-disease-virus,Amdovirus Aleutian-mink-disease-virus,Aleutian disease parvovirus,Amdovirus Aleutian-mink-disease-virus,0,34,,,,1,1,1,0,1,1,1,1,0,1,1,0,0,Viral Ecology Hurst,,7,no,"Canuti M, Whitney HG, Lang AS. Amdoparvoviruses in small mammals: expanding our understanding of parvovirus diversity, distribution, and pathology. Frontiers in Microbiology. 2015;6:1119. .",Article,doi:10.3389/fmicb.2015.01119,can't find the reference in Viral Ecology - so used primary literature ,
785,Virus,Bocavirus,Canine minute virus,Bocavirus Canine minute virus,Canine parvovirus,Bocavirus Canineminutevirus,0,21,,,,1,1,1,0,1,1,0,0,0,0,1,0,0,Viral Ecology Hurst,,4,no,Kapoor et. al. Journal of General Virology. 2011,Article,DOI 10.1099/vir.0.036624-0,Notes faecal-oral transmission and transmissino from bitch to pup- but does not go into much detail on other forms of transmission,
675,Virus,Parvovirus,Aleutian disease virus,Parvovirus Aleutian disease virus,Aluetian disease parvovirus,Parvovirus Aleutiandiseasevirus,1,119,,,,1,1,1,0,1,1,1,1,1,0,1,0,0,Viral Ecology Hurst,,7,yes,,,,repeat,
663,Virus,Parvovirus,Feline panleukopenia virus,Parvovirus Feline panleukopenia virus,Canine parvovirus (CPV-2),Parvovirus Felinepanleukopeniavirus,4,319,,,,1,1,1,0,1,0,0,0,0,0,1,0,0,Viral Ecology Hurst,,3,no,"Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499. ",Article,doi:10.1007/s13337-014-0231-y.,,
661,Virus,Parvovirus,NA,Parvovirus NA,Parvovirus,,,,,,,1,1,1,0,1,1,1,1,1,0,1,0,0,Viral Ecology Hurst,,7,yes,,,,repeat/non-specific,
,Bacteria,Citrobacter,diversus,Citrobacter diversus,Citrobacter diversus,Citrobacter diversus,174,,5,G,3,1,1,1,0,1,1,0,0,0,0,0,0,0,Bailey & Scott's Diagnostic Microbiology; http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/citrobacter-eng.php,,3,no,"Marecos CV, Ferreira M, Ferreira MM, Barroso MR. Sepsis, meningitis and cerebral abscesses caused by Citrobacter koseri. BMJ Case Reports. 2012;2012:bcr1020114941. ",Article,doi:10.1136/bcr.10.2011.4941.,direct close contact reported in Bailey and Scott's Diagnostic Microbiology,
,Bacteria,Citrobacter,freundii,Citrobacter freundii,Citrobacter freundii,Citrobacter freundii,1512,,5,G,3,1,1,1,0,0,1,1,1,1,1,0,0,0,Bailey & Scott's Diagnostic Microbiology; http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/citrobacter-eng.php,,6,no,"Lavigne, J., C. Defez, N. Bouziges, A. Mahamat, A. Sotto. Clinical and molecular epidemiology of multidrug-resistant Citrobacter spp. infections in a French university hospital. Eur J Clin Microbiol Infect Dis. 2007 Jun ;26(6):439-41",Article,10.1007/s10096-007-0315-3,"Not sure how to deal with this one - the Bailey and Scott's Diagnostic manual says close contact for all Citrobacter - but the paper says that the bacteria are found in water, soil and intestines of animals and humans",
,Bacteria,Citrobacter,sp.,Citrobacter sp.,Citrobacter sp.,,,,,,,1,1,1,0,1,1,1,1,0,0,1,0,0,Bailey & Scott's Diagnostic Microbiology; http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/citrobacter-eng.php,,6,yes,,,,repeat/non-specific,
1532,Bacteria,Citrobacter,NA,Citrobacter NA,Citrobacter sp.,,,,,,,1,1,1,0,1,1,1,1,0,0,1,0,0,Bailey & Scott's Diagnostic Microbiology; http://www.phac-aspc.gc.ca/lab-bio/res/psds-ftss/citrobacter-eng.php,,6,yes,,,,repeat/non-specific,
1546,Bacteria,Brucella,abortus,Brucella abortus,Brucella abortus,Brucella abortus,3031,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,http://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis.pdf,,4,no,"Moreno, E. Frontiers in Microbiology. 2014",Article,10.3389/fmicb.2014.00213,,
1545,Bacteria,Brucella,canis,Brucella canis,Brucella canis,Brucella canis,295,,,,,1,1,1,1,1,1,0,1,0,0,0,0,0,http://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis.pdf,,5,no,"Holst BS, Löfqvist K, Ernholm L, Eld K, Cedersmyg M, Hallgren G. The first case of Brucella canis in Sweden: background, case report and recommendations from a northern European perspective. Acta Veterinaria Scandinavica. 2012;54(1):18. ",Article,doi:10.1186/1751-0147-54-18.,"While it can be environmental they say ""in close quarters with concentrated urine"" - so I did not select non-close, even though it is environmental",
1544,Bacteria,Brucella,microti,Brucella microti,Brucella microti,Brucella microti,14,,,,,,,,,,,,,,,,,,http://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis.pdf,,0,yes,M. Jimenez de Bagues et al. Journal of Infectious Diseases. 2010,Article,doi: 10.1086/653084,transmission not yet described - although evidence that it can survive a long time in the soil,
1540,Bacteria,Brucella,pinnipedialis,Brucella pinnipedialis,Brucella maris,Brucella pinnipedialis,12,,,,,,,,,,,,,,,,,,http://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis.pdf,,0,yes,"Nymo IH, Tryland M, Godfroid J. A review of Brucella infection in marine mammals, with special emphasis on Brucella pinnipedialis in the hooded seal (Cystophora cristata). Veterinary Research. 2011;42(1):93. ",Article,doi:10.1186/1297-9716-42-93.,transmission not yet described - possible transmission by nematode infection transmitted to pinnepeds by consumption of infected fish.,
1542,Bacteria,Brucella,NA,Brucella NA,Brucella sp.,,,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,http://www.cfsph.iastate.edu/Factsheets/pdfs/brucellosis.pdf,,6,yes,,,,repeat/non-specific,
,Bacteria,Aeromonas,hydrophila,Aeromonas hydrophila,Aeromonas hydrophila,Aeromonas hydrophila,3790,,5,G,1,0,1,0,0,0,0,1,1,1,1,1,1,0,Bailey & Scott's Diagnostic Microbiology,,6,no,"Esteve C, Alcaide E, Blasco MD. Aeromonas hydrophila subsp. dhakensisIsolated from Feces, Water and Fish in Mediterranean Spain. Microbes and Environments. 2012;27(4):367-373. ",Article,doi:10.1264/jsme2.ME12009.,Also in Bailey and Scott's Diagnostic Microbiology,
539,Bacteria,Erysipelothrix,rhusiopathiae,Erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae,Erysipelothrix rhusiopathiae,608,,,,,0,1,0,0,0,0,1,1,1,1,1,1,0,"Erysipelothrix rhusiopathiae: bacteriology, 
epidemiology and clinical manifestations of an 
occupational pathogen",,6,no,C. Brooke and T. Riley. Jurnal of Medical Microbiology. 1999,Article,doi: 10.1099/00222615-48-9-789,,
1565,Bacteria,Aeromonas,NA,Aeromonas NA,Aeromonas sp.,,,,,,,0,1,0,0,0,0,1,1,1,1,1,1,0,Bailey & Scott's Diagnostic Microbiology,,6,yes,,,,repeat/non-specific,
,Bacteria,Aeromonas,sp.,Aeromonas sp.,Aeromonas sp.,,,,,,,0,1,0,0,0,0,1,1,1,1,1,1,0,Bailey & Scott's Diagnostic Microbiology,,6,yes,,,,repeat/non-specific,
1583,Protozoa,Giardia,lambia,Giardia lambia,Giardia Lamblia,Giardia lamblia,14,,,,,1,1,1,1,0,0,1,1,0,1,1,0,0,http://www.vacunasyviajes.es/vacunasyviajes/Giardiasis_Atlas.html,,6,no,R. Adam. Clinical Microbiology Reviews. 2001,Article,DOI: 10.1128/CMR.14.3.447–475.2001,,
1580,Protozoa,Giardia,NA,Giardia NA,Giarda spp,,,,,,,1,1,1,1,0,0,1,1,0,1,1,0,0,http://www.vacunasyviajes.es/vacunasyviajes/Giardiasis_Atlas.html,,6,yes,,,,repeat/non-specific,
,Protozoan,Giardia,sp.,Giardia sp.,Giardia sp.,,,,,,,1,1,1,1,0,0,1,1,0,1,1,0,0,http://www.vacunasyviajes.es/vacunasyviajes/Giardiasis_Atlas.html,,6,yes,,,,repeat/non-specific,
472,Bacteria,Chlamydophila,abortus,Chlamydophila abortus,Chlamydophila abortus,Chlamydophila abortus,266,,,,,1,1,1,1,0,1,1,1,0,0,0,0,0,"Immunopathology of Chlamydophila abortus infection
in sheep and mice",,5,no,"Kerr, K, G. Entrican, D. McKeever, D. Longbottom. Research in Veterinary Science. 2005.",Article,doi:10.1016/j.rvsc.2004.08.004,,
471,Bacteria,Chlamydophila,felis,Chlamydophila felis,Chlamydophila felis,Chlamydophila felis,111,,,,,1,1,1,0,0,1,0,0,0,0,0,0,0,http://www.ncbi.nlm.nih.gov/pubmed/19481040,,2,no,Gruffydd-Jones et al. Jurnal of Feline medical Surgery. 2009.,Article,doi: 10.1016/j.jfms.2009.05.009,,
468,Bacteria,Chlamydophila,psittaci,Chlamydophila psittaci,Chlamydophila psittaci,Chlamydophila psittaci,360,,,,,1,1,1,0,0,1,1,1,0,0,1,0,0,http://www.cdc.gov/mmwr/pdf/rr/rr4710.pdf,,5,no,"Centers for Disease Control and Prevention. Compendium of measures to control Chlamydia psittaci infection among humans (psittacosis) and pet birds (avian chlamydiosis), 1998. MMWR 1998;47(No. RR-10):[inclusive page numbers].",CDC Report,,,
469,Bacteria,Chlamydophila,NA,Chlamydophila NA,Chlamydophila sp,,,,,,,1,1,1,1,0,1,1,0,0,0,1,0,0,http://www.cdc.gov/std/chlamydia/stdfact-chlamydia.htm,,5,yes,,,,repeat/non-specific,
1509,Bacteria,Flavobacterium,NA,Flavobacterium NA,Flavobacterium -like sp.,,,,,,,1,1,1,0,0,1,1,1,0,1,0,0,0,Transmission and detection of Flavobacterium columnare in channel catfish Ictalurus punctatus.,,5,yes,,,,repeat/non-specific,
,Bacteria,Flavobacterium,sp.,Flavobacterium sp.,Flavobacterium sp.,,,,,,,1,1,1,0,0,1,1,1,0,1,0,0,0,Transmission and detection of Flavobacterium columnare in channel catfish Ictalurus punctatus.,,5,yes,,,,repeat/non-specific,
1400,Bacteria,Yersinia,enterocolitica,Yersinia enterocolitica,Yersinia enterocolitica,Yersinia enterocolitica,6371,,,,,0,1,0,0,0,0,1,1,0,1,0,0,0,Bailey & Scott's Diagnostic Microbiology,,3,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.3 p 365",Textboook,,Injestion of uncooked food - not really any of these transmission modes…close is sort of covering it,
1396,Bacteria,Yersinia,pseudotuberculosis,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,Yersinia pseudotuberculosis,1912,,,,,0,1,0,0,0,0,1,1,0,1,0,0,0,Bailey & Scott's Diagnostic Microbiology,,3,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.",Textboook,,Injestion of uncooked food - not really any of these transmission modes…close is sort of covering it,
1399,Bacteria,Yersinia,NA,Yersinia NA,Yersinia sp.,NA,,,,,,0,1,1,0,0,1,1,0,0,1,1,0,0,Bailey & Scott's Diagnostic Microbiology,,5,yes,,,,repeat/non-specific,
559,Bacteria,Bacillus,anthracis,Bacillus anthracis,Bacillus anthracis,Bacillus anthracis,4859,,,,,0,1,0,0,0,0,1,1,1,0,0,0,0,Bailey & Scott's Diagnostic Microbiology,,3,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.",Textboook,,,
558,Bacteria,Bacillus,coagulans,Bacillus coagulans,Bacillus coagulans,Bacillus coagulans,588,,,,,0,1,0,0,0,0,1,1,1,0,1,1,0,Bailey & Scott's Diagnostic Microbiology,,5,yes,"Benson KF, Redman KA, Carter SG, et al. Probiotic metabolites from Bacillus coagulans GanedenBC30TM support maturation of antigen-presenting cells in vitro. World Journal of Gastroenterology_: WJG. 2012;18(16):1875-1883. ",Article,doi:10.3748/wjg.v18.i16.1875.,listed as a probiotic in livestock feed,
557,Bacteria,Bacillus,laterosporus,Bacillus laterosporus,Bacillus laterosporus,Bacillus laterosporus,66,,,,,0,1,0,0,0,0,1,1,1,0,1,1,0,Bailey & Scott's Diagnostic Microbiology,,5,yes,S. Cutting. Food Microbiology. 2011,Article,doi:10.1016/j.fm.2010.03.007,list as a probiotic and gut commensal,
,Bacteria,Listeria,ivanovii,Listeria ivanovii,Listeria ivanovii,Listeria ivanovii,206,,5,G,3,0,1,0,0,0,0,1,1,1,1,1,0,0,https://www.addl.purdue.edu/newsletters/2005/fall/listeriosis.htm,,5,no,"Linke K, Rückerl I, Brugger K, et al. Reservoirs of Listeria Species in Three Environmental Ecosystems. Kostka JE, ed. Applied and Environmental Microbiology. 2014;80(18):5583-5592. ",Article,doi:10.1128/AEM.01018-14.,,
,Bacteria,Listeria,monocytogenes,Listeria monocytogenes,Listeria monocytogenes,Monocytogenes ivanovii,24405,,5,G,1,0,1,0,0,0,0,1,1,1,1,1,0,0,https://www.addl.purdue.edu/newsletters/2005/fall/listeriosis.htm,,5,,"Linke K, Rückerl I, Brugger K, et al. Reservoirs of Listeria Species in Three Environmental Ecosystems. Kostka JE, ed. Applied and Environmental Microbiology. 2014;80(18):5583-5592. ",Article,doi:10.1128/AEM.01018-14.,Assume originial parasite binomial is correct - the corrected binomial seems wrong,
555,Bacteria,Bacillus,NA,Bacillus NA,Bacillus sp.,,,,,,,0,1,0,0,0,0,1,1,1,0,1,1,0,Bailey & Scott's Diagnostic Microbiology,,5,yes,,,,repeat/non-specific,
1455,Bacteria,Proteus,NA,Proteus NA,Proteus sp.,,,,,,,1,0,1,0,1,1,1,1,0,0,0,0,0,Bailey & Scott's Diagnostic Microbiology,,5,yes,,,,repeat/non-specific,
449,Fungus,Microsporum,gypseum,Microsporum gypseum,Microsporum gypsum,Microsporum gypseum,593,,,,,1,1,1,0,0,1,1,1,1,0,0,0,0,http://www.doctorfungus.org/Thefungi/microsporum_spp.php,,5,no,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.",Textboook,,,
1096,Helminth,Ascaris,lumbricoides,Ascaris lumbricoides,Ascaris lumbricoides,Ascaris lumbricoides,2206,,,,,1,1,1,0,0,0,1,1,1,0,1,0,0,http://www.cdc.gov/parasites/ascariasis/,,5,no,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg291",Textboook,,,
1095,Helminth,Ascaris,suum,Ascaris suum,Ascaris suum,Ascaris suum,2773,,,,,1,1,1,0,0,0,1,1,1,0,1,0,0,http://www.cdc.gov/parasites/ascariasis/,,5,no,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg292",Textboook,,,
890,Helminth,Strongyloides,erschovi,Strongyloides erschovi,Strongyloides erschovi,Strongyloides erschovi,0,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,Shimalov and Shimalov. Parasitological Research. 2002,Article,DOI 10.1007/s00436-001-0582-3,Combined information from paper and Anderson textbook - not all Strongyloides are vertically transmitted but they are mostly all faecally transmitted. ,
889,Helminth,Strongyloides,lutrae,Strongyloides lutrae,Strongyloides lutrae,Strongyloides lutrae,3,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,J. Torees et al. Journal of Helminthology. 2004.,Article,DOI: 10.1079/JOH2004253,Combined information from paper and Anderson textbook - not all Strongyloides are vertically transmitted but they are mostly all faecally transmitted. ,
888,Helminth,Strongyloides,martis,Strongyloides martis,Strongyloides martis,Strongyloides martis,1,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,"Shimalov, Shimalov and Shimalov. Parasitology Research. 2000.",Article,10.1007/s004360050708,Combined information from paper and Anderson textbook - not all Strongyloides are vertically transmitted but they are mostly all faecally transmitted. ,
887,Helminth,Strongyloides,mustelorum,Strongyloides mustelorum,strongyloides mustelorum,Strongyloides mustelorum,2,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg292",Textboook,,realtively conserved life cycle (with a subset able to transmit vertically) so I am assuming these follow the Strongyloides lifecycle without the vertical ,
883,Helminth,Strongyloides,papillosus,Strongyloides papillosus,Strongyloides papillosus,Strongyloides papillosus,140,,,,,1,1,1,0,1,0,1,1,0,0,1,0,0,,,5,no,"Anderson, R. Nematode Parasites of Vertebrates. 2000. pg28-30",Textboook,,,
882,Helminth,Strongyloides,planiceps,Strongyloides planiceps,Strongyloides planiceps,Strongyloides planiceps,3,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,Yamada et al. The Journal of Parasitology. 191,Article,10.2307/3283165,,
881,Helminth,Strongyloides,procyonis,Strongyloides procyonis,Strongyloides procyonis,Strongyloides procyonis,4,,,,,1,1,1,0,0,0,1,1,0,0,1,0,0,,,4,no,H. Sato et al. The Journal of parasitology. 2006,Article,10.1645/GE-623R.1,Combined information from paper and Anderson textbook - not all Strongyloides are vertically transmitted but they are mostly all faecally transmitted. ,
880,Helminth,Strongyloides,stercoralis,Strongyloides stercoralis,Strongyloides stercoralis,Strongyloides stercoralis,1404,,,,,1,1,1,0,1,0,1,1,0,0,1,0,0,,,5,no,"Mati VLT, Raso P, de Melo AL. Strongyloides stercoralis infection in marmosets: replication of complicated and uncomplicated human disease and parasite biology. Parasites & Vectors. 2014;7:579. ",Article,doi:10.1186/s13071-014-0579-2.,,
879,Helminth,Strongyloides,vulpis,Strongyloides vulpis,Strongyloides vulpis ,Strongyloides vulpis,0,,,,,1,1,1,0,1,0,1,1,0,0,1,0,0,,,5,?,,,,requeststed paper from library,
884,Helminth,Strongyloides,NA,Strongyloides NA,Strongyloides sp,,,,,,,1,1,1,0,1,0,1,1,0,0,1,0,0,,,5,yes,,,,repeat/non-specific,
,Helminth,Ancylostoma,braziliense,Ancylostoma braziliense,Ancylostoma brazilense,Ancylostoma braziliense,136,,4,G,6,1,1,0,0,1,0,1,1,0,0,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.,,4,no,"Norris, D. The Journal of Parasitology. 1971",Article, 10.2307/3277855,,
,Helminth,Ancylostoma,buckleyi,Ancylostoma buckleyi,Ancylostoma buckleyi,Ancylostoma buckleyi,0,,4,G,6,1,1,0,0,1,0,1,1,0,0,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.,Textbook,,Textbook suggests that secies follow a generalized life cycle. eggs passed in feces and egs develop and become infective (after ~1 week). ,
,Helminth,Ancylostoma,caninum,Ancylostoma caninum,Ancylostoma caninum,Ancylostoma caninum,820,,4,G,1,1,1,0,0,1,0,1,1,0,0,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.,,4,no,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp. 370–376.; Olsen W (1986). Animal Parasites: their life cycles and ecology (3rd ed.). Dover. pp. 399–416.,Textbook,,Textbook suggests that secies follow a generalized life cycle. eggs passed in feces and egs develop and become infective (after ~1 week). ,
